deployment-mechanism,trial-number,start-time,wall-time-seconds,inference-time-seconds,overhead-time-seconds
docker,1,2025-04-17T20:24:16.390686+00:00,8.45,6.15,2.3
native,1,2025-04-17T20:24:25.033502+00:00,7.1,6.27,0.83
wasm_aot,1,2025-04-17T20:24:32.142049+00:00,7.45,6.54,0.91
native,2,2025-04-17T20:24:39.600891+00:00,7.02,6.18,0.84
wasm_aot,2,2025-04-17T20:24:46.633205+00:00,7.53,6.62,0.91
native,3,2025-04-17T20:24:54.173420+00:00,6.97,6.15,0.82
docker,2,2025-04-17T20:25:01.156195+00:00,8.23,6.15,2.08
wasm_interpreted,1,2025-04-17T20:25:09.522590+00:00,268.72,267.61,1.11
wasm_aot,3,2025-04-17T20:29:38.255170+00:00,7.5,6.58,0.92
docker,3,2025-04-17T20:29:45.760490+00:00,8.25,6.15,2.1
native,4,2025-04-17T20:29:54.139738+00:00,7.09,6.26,0.83
native,5,2025-04-17T20:30:01.238244+00:00,7.14,6.28,0.86
native,6,2025-04-17T20:30:08.387425+00:00,7.21,6.35,0.86
wasm_interpreted,2,2025-04-17T20:30:15.612967+00:00,268.79,267.6,1.19
native,7,2025-04-17T20:34:44.419002+00:00,7.05,6.24,0.81
wasm_interpreted,3,2025-04-17T20:34:51.483038+00:00,268.68,267.56,1.12
wasm_interpreted,4,2025-04-17T20:39:20.179304+00:00,268.97,267.84,1.13
wasm_aot,4,2025-04-17T20:43:49.163022+00:00,7.56,6.66,0.9
wasm_interpreted,5,2025-04-17T20:43:56.729182+00:00,268.85,267.74,1.11
native,8,2025-04-17T20:48:25.589792+00:00,6.96,6.14,0.82
docker,4,2025-04-17T20:48:32.559503+00:00,8.27,6.12,2.15
docker,5,2025-04-17T20:48:40.975681+00:00,8.39,6.28,2.11
native,9,2025-04-17T20:48:49.517197+00:00,7.2,6.33,0.87
docker,6,2025-04-17T20:48:56.727045+00:00,8.78,6.37,2.41
docker,7,2025-04-17T20:49:05.659269+00:00,8.66,6.44,2.22
native,10,2025-04-17T20:49:14.474973+00:00,7.47,6.55,0.92
wasm_aot,5,2025-04-17T20:49:21.959978+00:00,8.29,7.18,1.11
wasm_interpreted,6,2025-04-17T20:49:30.261271+00:00,269.17,267.89,1.28
wasm_aot,6,2025-04-17T20:53:59.441820+00:00,7.56,6.65,0.91
native,11,2025-04-17T20:54:07.011708+00:00,7.15,6.31,0.84
docker,8,2025-04-17T20:54:14.173678+00:00,8.45,6.27,2.18
native,12,2025-04-17T20:54:22.771817+00:00,7.16,6.3,0.86
native,13,2025-04-17T20:54:29.945474+00:00,7.3,6.38,0.92
